datawrapper,Unnamed: 0,Название региона,Номер региона (ОКАТО),Название показателя,Номер показателя (ID),Ед. измерения,Источник,Описание,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Рейтинг 7х7_2015,Рейтинг 7х7_2017,Рейтинг 7х7_2019,Рейтинг 7х7_2021,Рейтинг 7х7_2023,Рейтинг 7х7_2025,Рейтинг 7х7_2015_оценка,Рейтинг 7х7_2017_оценка,Рейтинг 7х7_2019_оценка,Рейтинг 7х7_2021_оценка,Рейтинг 7х7_2023_оценка,Рейтинг 7х7_2025_оценка
Приморский край,169,Приморский край,5000000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95917,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,0.14063987607497933,,0.13476214597214006,,0.05164204110632223,,0.15221448316654793,,0.17825222361009754,,,,0.3778516021625924,0.43274177655734786,0.4762096082351175,0.5909259330811494,0.516915209941941,0.43213556102327216,Неуд,Неуд,Удовлетворительно,Удовлетворительно,Удовлетворительно,Удовлетворительно
Воронежская область,43,Воронежская область,20000000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95799,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,0.43359375,,0.4579439252336448,,0.3530751708428246,,0.5496613995485327,,0.4548923412373944,,,,0.41945783113095825,0.4956488716057626,0.5275379558262521,0.5423340245891369,0.5153278301239683,0.5394496693763746,Удовлетворительно,Удовлетворительно,Удовлетворительно,Удовлетворительно,Удовлетворительно,Хорошо
Псковская область,175,Псковская область,58000000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95917,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,0.04671654541446208,,0.0468424155152426,,0.02432236054976159,,0.06895773511153898,,0.080402407528681,,,,0.3055077214013064,0.40025503530824574,0.461498393118956,0.5490574885493852,0.49752196603412663,0.5499234386540415,Неуд,Неуд,Удовлетворительно,Удовлетворительно,Неуд,Хорошо
Республика Адыгея,176,Республика Адыгея,79000000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95917,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,0.05291980771331804,,0.05851958942656009,,0.023921196889171152,,0.05846120913607595,,0.07875679593474598,,,,0.3899220483240935,0.49725941845104954,0.5001864221541994,0.556487319113808,0.5325763999159311,0.48758290425232353,Удовлетворительно,Удовлетворительно,Удовлетворительно,Удовлетворительно,Удовлетворительно,Удовлетворительно
Еврейская автономная область,44,Еврейская автономная область,99000000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95799,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,0.22265625,,0.23831775700934577,,0.20956719817767644,,0.30338600451467257,,0.5061324611610795,,,,0.24206579985315022,0.35295581458752034,0.3879010914503571,0.42637597923729964,0.4756178966586856,0.2980150237400847,Кол,Неуд,Неуд,Неуд,Неуд,Неуд
Республика Алтай,182,Республика Алтай,84000000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95917,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,0.024615636364345807,,0.04473471675633644,,0.036910473751720595,,0.0604900313552468,,0.11567468561847163,,,,0.3021871635538344,0.377217729543319,0.45974604512664274,0.4882093875362521,0.44550940446386444,0.06828005409011134,Неуд,Неуд,Удовлетворительно,Неуд,Неуд,Кол
Еврейская автономная область,45,Еврейская автономная область,99000000,Забота о других,95853,%,,"Расчет «Если быть точным». Доля респондентов, в круг ежедневных занятий которых входит уход за детьми или за нуждающимися в особой помощи лицами, от всех респондентов. Суммарное время, затрачиваемое на заботу о них. Источник - Росстат: Комплексное наблюдение условий жизни населения. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же.",,,23.0,0.7142857142857143,30.0,0.4814814814814815,55.0,0.32352941176470584,41.0,0.38095238095238093,39.0,0.43333333333333335,,0.24206579985315022,0.35295581458752034,0.3879010914503571,0.42637597923729964,0.4756178966586856,0.2980150237400847,Кол,Неуд,Неуд,Неуд,Неуд,Неуд
Республика Башкортостан,184,Республика Башкортостан,80000000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95917,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,0.08178353896458616,,0.07733491260601859,,0.03283073941466924,,0.09053640784756341,,0.09315908046735534,,,,0.3937215294178438,0.448083888528326,0.48448025455109545,0.5184630648685435,0.4964740892822892,0.4578821587085165,Удовлетворительно,Неуд,Удовлетворительно,Удовлетворительно,Неуд,Удовлетворительно
Республика Бурятия,189,Республика Бурятия,81000000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95917,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,0.10792214398870004,,0.10772831835674862,,0.038470749742982834,,0.1012002394521835,,0.0907579118930125,,,,0.3289806005207909,0.38853626198622454,0.4144337260628952,0.48891357405928854,0.4034229206833977,0.24143413400104186,Неуд,Неуд,Неуд,Неуд,Кол,Неуд
Республика Дагестан,195,Республика Дагестан,82000000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95917,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,0.015671091445427728,,0.019888502240960584,,0.009906784751377727,,0.03771547301457008,,0.04299927253158792,,,,0.39562693462043547,0.47645444032066536,0.5483466681282114,0.6292538749260728,0.5961260417181892,0.687982539758186,Удовлетворительно,Удовлетворительно,Удовлетворительно,Хорошо,Удовлетворительно,Хорошо
