,Название региона,Номер региона (ОКАТО),Название показателя,Номер показателя (ID),Ед. измерения,Источник,Описание,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
31,Владимирская область,17000000,Забота о других,95853,%,,"Расчет «Если быть точным». Доля респондентов, в круг ежедневных занятий которых входит уход за детьми или за нуждающимися в особой помощи лицами, от всех респондентов. Суммарное время, затрачиваемое на заботу о них. Источник - Росстат: Комплексное наблюдение условий жизни населения. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же.",,,24.0,24.0,27.0,27.0,48.0,48.0,39.0,39.0,35.0,35.0,
32,Волгоградская область,18000000,"Средняя заработная плата по группам занятий, женщины",95790,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,20356.0,,24195.0,,28845.0,,33454.0,,43111.0,,,
33,Волгоградская область,18000000,"Средняя заработная плата по группам занятий, мужчины",95789,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,29648.0,,34053.0,,39019.0,,46808.0,,63589.0,,,
34,Волгоградская область,18000000,Забота о других,95853,%,,"Расчет «Если быть точным». Доля респондентов, в круг ежедневных занятий которых входит уход за детьми или за нуждающимися в особой помощи лицами, от всех респондентов. Суммарное время, затрачиваемое на заботу о них. Источник - Росстат: Комплексное наблюдение условий жизни населения. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же.",,,24.0,24.0,31.0,31.0,48.0,48.0,38.0,38.0,37.0,37.0,
35,Волгоградская область,18000000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95799,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,31.3,,28.9,,26.1,,28.53,,32.2,,,
36,Вологодская область,19000000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95799,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,41.6,,40.8,,32.2,,29.95,,35.06,,,
37,Вологодская область,19000000,Забота о других,95853,%,,"Расчет «Если быть точным». Доля респондентов, в круг ежедневных занятий которых входит уход за детьми или за нуждающимися в особой помощи лицами, от всех респондентов. Суммарное время, затрачиваемое на заботу о них. Источник - Росстат: Комплексное наблюдение условий жизни населения. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же.",,,21.0,21.0,37.0,37.0,56.0,56.0,49.0,49.0,39.0,39.0,
38,Вологодская область,19000000,"Средняя заработная плата по группам занятий, женщины",95790,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,22401.0,,26736.0,,34810.0,,41677.0,,50720.0,,,
39,Вологодская область,19000000,"Средняя заработная плата по группам занятий, мужчины",95789,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,38385.0,,45131.0,,51378.0,,59497.0,,78105.0,,,
40,Воронежская область,20000000,Забота о других,95853,%,,"Расчет «Если быть точным». Доля респондентов, в круг ежедневных занятий которых входит уход за детьми или за нуждающимися в особой помощи лицами, от всех респондентов. Суммарное время, затрачиваемое на заботу о них. Источник - Росстат: Комплексное наблюдение условий жизни населения. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же.",,,23.0,23.0,27.0,27.0,53.0,53.0,43.0,43.0,38.0,38.0,
41,Воронежская область,20000000,"Средняя заработная плата по группам занятий, мужчины",95789,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,30817.0,,35833.0,,44035.0,,49081.0,,65747.0,,,
42,Воронежская область,20000000,"Средняя заработная плата по группам занятий, женщины",95790,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,22834.0,,26783.0,,32214.0,,36234.0,,46839.0,,,
43,Воронежская область,20000000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95799,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,25.9,,25.3,,26.8,,26.18,,28.76,,,
44,Еврейская автономная область,99000000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95799,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,36.7,,34.7,,33.1,,37.09,,26.88,,,
45,Еврейская автономная область,99000000,Забота о других,95853,%,,"Расчет «Если быть точным». Доля респондентов, в круг ежедневных занятий которых входит уход за детьми или за нуждающимися в особой помощи лицами, от всех респондентов. Суммарное время, затрачиваемое на заботу о них. Источник - Росстат: Комплексное наблюдение условий жизни населения. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же.",,,23.0,23.0,30.0,30.0,55.0,55.0,41.0,41.0,39.0,39.0,
46,Еврейская автономная область,99000000,"Средняя заработная плата по группам занятий, женщины",95790,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,23106.0,,26915.0,,34376.0,,38508.0,,62541.0,,,
47,Еврейская автономная область,99000000,"Средняя заработная плата по группам занятий, мужчины",95789,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,36511.0,,41188.0,,51359.0,,61215.0,,85528.0,,,
48,Забайкальский край,76000000,"Средняя заработная плата по группам занятий, мужчины",95789,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,39454.0,,47809.0,,62567.0,,70489.0,,95976.0,,,
49,Забайкальский край,76000000,Забота о других,95853,%,,"Расчет «Если быть точным». Доля респондентов, в круг ежедневных занятий которых входит уход за детьми или за нуждающимися в особой помощи лицами, от всех респондентов. Суммарное время, затрачиваемое на заботу о них. Источник - Росстат: Комплексное наблюдение условий жизни населения. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же.",,,21.0,21.0,35.0,35.0,47.0,47.0,40.0,40.0,35.0,35.0,
50,Забайкальский край,76000000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95799,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,38.7,,40.9,,42.3,,42.07,,41.26,,,
51,Забайкальский край,76000000,"Средняя заработная плата по группам занятий, женщины",95790,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,24197.0,,28257.0,,36102.0,,40837.0,,56381.0,,,
52,Ивановская область,24000000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95799,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,20.6,,20.4,,22.3,,21.81,,24.53,,,
53,Ивановская область,24000000,"Средняя заработная плата по группам занятий, мужчины",95789,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,22711.0,,26205.0,,32880.0,,38815.0,,55071.0,,,
54,Ивановская область,24000000,"Средняя заработная плата по группам занятий, женщины",95790,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,18043.0,,20868.0,,25533.0,,30348.0,,41564.0,,,
