,Название региона,Номер региона (ОКАТО),Название показателя,Номер показателя (ID),Ед. измерения,Источник,Описание,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
545,Московская область,46000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,0
546,Иркутская область,25000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,0
547,Калининградская область,27000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,0
548,Кировская область,33000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,0
549,Пензенская область,56000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,0
550,Волгоградская область,18000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,0
551,ДНР,21000000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
552,ЛНР,43000000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
553,Запорожская область,23000000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
554,Херсонская область,74000000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
555,Республика Адыгея,79000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
556,Алтайский край,1000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
557,Амурская область,10000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
558,Архангельская область (с а/о),11000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
559,Республика Башкортостан,80000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
560,Белгородская область,14000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
561,Республика Бурятия,81000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
562,Владимирская область,17000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
563,Республика Дагестан,82000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
564,Еврейская автономная область,99000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
565,Ивановская область,24000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
566,Республика Ингушетия,26000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
567,Кабардино-Балкарская республика,83000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
568,Республика Калмыкия,85000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
569,Калужская область,29000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
570,Камчатский край,30000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
571,Карачаево-Черкесская республика,91000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
572,Республика Карелия,86000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
573,Костромская область,34000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
574,Краснодарский край,3000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
575,Ленинградская область,41000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
576,Липецкая область,42000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
577,Магаданская область,44000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
578,Республика Марий Эл,88000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
579,Москва,45000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
580,Мурманская область,47000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
581,Ненецкий автономный округ,11100000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
582,Новосибирская область,50000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
583,Оренбургская область,53000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
584,Пермский край,57000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
585,Ростовская область,60000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
586,Самарская область,36000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
587,Саратовская область,63000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
588,Сахалинская область,64000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
589,Свердловская область,65000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
590,Севастополь,67000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
591,Республика Северная Осетия — Алания,90000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
592,Ставропольский край,7000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
593,Тамбовская область,68000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
594,Республика Татарстан,92000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
595,Томская область,69000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
596,Тульская область,70000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
597,Республика Тыва,93000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
598,Тюменская область (с а/о),71000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
599,Удмуртская республика,94000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
600,Ульяновская область,73000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
601,Хабаровский край,8000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
602,Ханты-Мансийский автономный округ - Югра,71100000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
603,Челябинская область,75000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
604,Чеченская республика,96000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
605,Чувашская республика,97000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
606,Чукотский автономный округ,77000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
607,Ямало-Ненецкий автономный округ,71140000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
608,Ярославская область,78000000,Запрет на пропаганду абортов,95911,оценка,Заксобрание региона,Принят ли в регионе «О запрете склонения женщин к искусственному прерыванию беременности».,,,,,,,,,,,,,1
609,Алтайский край,1000000,Всего абортов на 1000 женщин,Y477000008,человек,Росстат,Расчет «Если быть точным» по данным Росстата.Номер показателя (ID) заимствован у «Если быть точным» из датасета «Аборты в России»,26.66,24.58,25.3,23.23,20.3,19.98,16.71,15.12,16.24,14.52,13.012,,
610,Амурская область,10000000,Всего абортов на 1000 женщин,Y477000008,человек,Росстат,Расчет «Если быть точным» по данным Росстата.Номер показателя (ID) заимствован у «Если быть точным» из датасета «Аборты в России»,44.56,36.76,34.62,30.75,26.82,26.04,22.64,20.77,21.62,19.5,20.124,,
611,Архангельская область (с а/о),11000000,Всего абортов на 1000 женщин,Y477000008,человек,Росстат,Расчет «Если быть точным» по данным Росстата.Номер показателя (ID) заимствован у «Если быть точным» из датасета «Аборты в России»,39.82,37.54,32.39,29.29,27.27,27.1,24.72,22.62,20.64,17.17,17.953,,
612,Архангельская область,11200000,Всего абортов на 1000 женщин,Y477000008,человек,Росстат,Расчет «Если быть точным» по данным Росстата.Номер показателя (ID) заимствован у «Если быть точным» из датасета «Аборты в России»,39.84,37.68,32.15,28.98,27.1,26.92,24.54,22.6,20.48,16.97,17.954,,
613,Астраханская область,12000000,Всего абортов на 1000 женщин,Y477000008,человек,Росстат,Расчет «Если быть точным» по данным Росстата.Номер показателя (ID) заимствован у «Если быть точным» из датасета «Аборты в России»,19.51,17.69,18.58,20.16,17.34,16.54,15.29,15.19,11.77,12.91,12.931,,
614,Белгородская область,14000000,Всего абортов на 1000 женщин,Y477000008,человек,Росстат,Расчет «Если быть точным» по данным Росстата.Номер показателя (ID) заимствован у «Если быть точным» из датасета «Аборты в России»,14.37,13.53,13.52,12.54,11.16,10.75,8.72,7.82,7.7,8.05,7.534,,
615,Брянская область,15000000,Всего абортов на 1000 женщин,Y477000008,человек,Росстат,Расчет «Если быть точным» по данным Росстата.Номер показателя (ID) заимствован у «Если быть точным» из датасета «Аборты в России»,31.02,31.84,29.37,26.36,23.97,21.58,18.15,16.93,17.14,16.63,15.638,,
616,Владимирская область,17000000,Всего абортов на 1000 женщин,Y477000008,человек,Росстат,Расчет «Если быть точным» по данным Росстата.Номер показателя (ID) заимствован у «Если быть точным» из датасета «Аборты в России»,29.07,26.83,25.9,23.86,20.42,19.49,15.32,15.9,13.45,11.9,13.018,,
617,Волгоградская область,18000000,Всего абортов на 1000 женщин,Y477000008,человек,Росстат,Расчет «Если быть точным» по данным Росстата.Номер показателя (ID) заимствован у «Если быть точным» из датасета «Аборты в России»,30.66,29.68,26.05,18.49,15.34,14.18,13.11,11.69,13.45,12.2,10.987,,
618,Вологодская область,19000000,Всего абортов на 1000 женщин,Y477000008,человек,Росстат,Расчет «Если быть точным» по данным Росстата.Номер показателя (ID) заимствован у «Если быть точным» из датасета «Аборты в России»,39.41,35.81,36.5,34.52,29.05,26.21,23.97,21.28,19.23,17.25,17.217,,
619,Воронежская область,20000000,Всего абортов на 1000 женщин,Y477000008,человек,Росстат,Расчет «Если быть точным» по данным Росстата.Номер показателя (ID) заимствован у «Если быть точным» из датасета «Аборты в России»,20.82,20.08,19.71,17.87,14.71,12.69,9.91,9.05,9.04,9.24,9.556,,
620,Еврейская автономная область,99000000,Всего абортов на 1000 женщин,Y477000008,человек,Росстат,Расчет «Если быть точным» по данным Росстата.Номер показателя (ID) заимствован у «Если быть точным» из датасета «Аборты в России»,44.47,46.66,43.65,42.27,37.55,36.97,31.42,26.93,24.21,22.82,23.771,,
621,Забайкальский край,76000000,Всего абортов на 1000 женщин,Y477000008,человек,Росстат,Расчет «Если быть точным» по данным Росстата.Номер показателя (ID) заимствован у «Если быть точным» из датасета «Аборты в России»,36.3,34.24,36.3,33.92,28.67,26.82,22.99,22.95,22.83,22.92,23.739,,
622,Ивановская область,24000000,Всего абортов на 1000 женщин,Y477000008,человек,Росстат,Расчет «Если быть точным» по данным Росстата.Номер показателя (ID) заимствован у «Если быть точным» из датасета «Аборты в России»,25.17,22.72,20.02,18.37,17.04,15.02,12.21,10.52,10.85,11.1,11.47,,
623,Иркутская область,25000000,Всего абортов на 1000 женщин,Y477000008,человек,Росстат,Расчет «Если быть точным» по данным Росстата.Номер показателя (ID) заимствован у «Если быть точным» из датасета «Аборты в России»,38.81,37.27,37.96,37.84,29.7,29.49,26.39,24.18,23.92,20.9,18.656,,
624,Кабардино-Балкарская республика,83000000,Всего абортов на 1000 женщин,Y477000008,человек,Росстат,Расчет «Если быть точным» по данным Росстата.Номер показателя (ID) заимствован у «Если быть точным» из датасета «Аборты в России»,11.54,10.8,11.01,10.01,8.15,8.69,5.28,4.73,5.56,5.68,5.304,,
625,Калининградская область,27000000,Всего абортов на 1000 женщин,Y477000008,человек,Росстат,Расчет «Если быть точным» по данным Росстата.Номер показателя (ID) заимствован у «Если быть точным» из датасета «Аборты в России»,30.44,28.36,28.32,25.8,19.79,22.03,18.3,14.39,13.71,12.09,11.987,,
626,Калужская область,29000000,Всего абортов на 1000 женщин,Y477000008,человек,Росстат,Расчет «Если быть точным» по данным Росстата.Номер показателя (ID) заимствован у «Если быть точным» из датасета «Аборты в России»,25.12,22.58,20.73,19.37,16.81,15.84,12.5,13.3,12.62,11.6,11.402,,
627,Камчатский край,30000000,Всего абортов на 1000 женщин,Y477000008,человек,Росстат,Расчет «Если быть точным» по данным Росстата.Номер показателя (ID) заимствован у «Если быть точным» из датасета «Аборты в России»,31.2,27.38,33.88,29.55,28.0,26.29,24.51,20.8,19.99,20.85,20.33,,
628,Карачаево-Черкесская республика,91000000,Всего абортов на 1000 женщин,Y477000008,человек,Росстат,Расчет «Если быть точным» по данным Росстата.Номер показателя (ID) заимствован у «Если быть точным» из датасета «Аборты в России»,13.47,11.93,10.77,11.78,10.99,11.42,9.8,9.66,8.13,9.01,7.726,,
629,Кемеровская область,32000000,Всего абортов на 1000 женщин,Y477000008,человек,Росстат,Расчет «Если быть точным» по данным Росстата.Номер показателя (ID) заимствован у «Если быть точным» из датасета «Аборты в России»,40.62,34.51,34.51,33.39,27.38,25.36,22.57,21.86,20.8,18.2,17.282,,
630,Кировская область,33000000,Всего абортов на 1000 женщин,Y477000008,человек,Росстат,Расчет «Если быть точным» по данным Росстата.Номер показателя (ID) заимствован у «Если быть точным» из датасета «Аборты в России»,42.39,39.25,38.55,34.72,30.9,28.27,22.64,21.48,20.37,19.19,18.749,,
631,Костромская область,34000000,Всего абортов на 1000 женщин,Y477000008,человек,Росстат,Расчет «Если быть точным» по данным Росстата.Номер показателя (ID) заимствован у «Если быть точным» из датасета «Аборты в России»,32.84,31.99,32.14,29.47,25.22,23.13,19.83,18.71,18.5,17.02,15.929,,
632,Краснодарский край,3000000,Всего абортов на 1000 женщин,Y477000008,человек,Росстат,Расчет «Если быть точным» по данным Росстата.Номер показателя (ID) заимствован у «Если быть точным» из датасета «Аборты в России»,19.65,18.87,19.0,15.24,12.88,11.75,10.85,11.06,11.12,10.97,10.743,,
633,Красноярский край,4000000,Всего абортов на 1000 женщин,Y477000008,человек,Росстат,Расчет «Если быть точным» по данным Росстата.Номер показателя (ID) заимствован у «Если быть точным» из датасета «Аборты в России»,38.23,36.3,37.03,35.51,30.78,28.61,25.86,25.39,22.78,20.7,19.236,,
634,Курганская область,37000000,Всего абортов на 1000 женщин,Y477000008,человек,Росстат,Расчет «Если быть точным» по данным Росстата.Номер показателя (ID) заимствован у «Если быть точным» из датасета «Аборты в России»,42.63,37.95,41.21,37.6,31.8,30.21,25.97,22.5,28.79,23.25,19.358,,
635,Курская область,38000000,Всего абортов на 1000 женщин,Y477000008,человек,Росстат,Расчет «Если быть точным» по данным Росстата.Номер показателя (ID) заимствован у «Если быть точным» из датасета «Аборты в России»,29.07,27.03,24.12,24.49,20.45,18.86,15.42,13.85,13.72,13.47,13.814,,
636,Ленинградская область,41000000,Всего абортов на 1000 женщин,Y477000008,человек,Росстат,Расчет «Если быть точным» по данным Росстата.Номер показателя (ID) заимствован у «Если быть точным» из датасета «Аборты в России»,21.88,21.0,19.53,17.69,15.64,14.46,11.87,10.66,10.25,8.09,7.582,,
637,Липецкая область,42000000,Всего абортов на 1000 женщин,Y477000008,человек,Росстат,Расчет «Если быть точным» по данным Росстата.Номер показателя (ID) заимствован у «Если быть точным» из датасета «Аборты в России»,23.92,22.42,21.46,20.1,16.82,15.12,12.55,12.36,11.74,10.25,9.254,,
638,Магаданская область,44000000,Всего абортов на 1000 женщин,Y477000008,человек,Росстат,Расчет «Если быть точным» по данным Росстата.Номер показателя (ID) заимствован у «Если быть точным» из датасета «Аборты в России»,50.14,45.84,44.03,38.14,31.82,29.28,27.97,24.6,24.42,22.41,22.973,,
639,Москва,45000000,Всего абортов на 1000 женщин,Y477000008,человек,Росстат,Расчет «Если быть точным» по данным Росстата.Номер показателя (ID) заимствован у «Если быть точным» из датасета «Аборты в России»,10.48,9.87,11.12,11.99,9.57,9.27,8.55,8.96,9.87,9.19,9.634,,
640,Московская область,46000000,Всего абортов на 1000 женщин,Y477000008,человек,Росстат,Расчет «Если быть точным» по данным Росстата.Номер показателя (ID) заимствован у «Если быть точным» из датасета «Аборты в России»,20.13,17.47,16.37,14.12,10.99,10.46,10.17,9.29,9.16,8.61,7.986,,
641,Мурманская область,47000000,Всего абортов на 1000 женщин,Y477000008,человек,Росстат,Расчет «Если быть точным» по данным Росстата.Номер показателя (ID) заимствован у «Если быть точным» из датасета «Аборты в России»,24.26,24.84,24.07,24.01,21.93,20.68,23.94,22.18,19.26,16.81,16.786,,
642,Ненецкий автономный округ,11100000,Всего абортов на 1000 женщин,Y477000008,человек,Росстат,Расчет «Если быть точным» по данным Росстата.Номер показателя (ID) заимствован у «Если быть точным» из датасета «Аборты в России»,39.43,34.41,38.13,36.44,31.12,31.11,28.68,22.93,23.89,21.26,17.936,,
643,Нижегородская область,22000000,Всего абортов на 1000 женщин,Y477000008,человек,Росстат,Расчет «Если быть точным» по данным Росстата.Номер показателя (ID) заимствован у «Если быть точным» из датасета «Аборты в России»,27.29,26.03,26.07,23.71,18.74,17.82,15.4,15.09,16.11,15.65,14.02,,
644,Новгородская область,49000000,Всего абортов на 1000 женщин,Y477000008,человек,Росстат,Расчет «Если быть точным» по данным Росстата.Номер показателя (ID) заимствован у «Если быть точным» из датасета «Аборты в России»,33.54,32.63,30.72,27.52,23.56,21.0,18.23,16.96,15.38,15.27,14.506,,
645,Новосибирская область,50000000,Всего абортов на 1000 женщин,Y477000008,человек,Росстат,Расчет «Если быть точным» по данным Росстата.Номер показателя (ID) заимствован у «Если быть точным» из датасета «Аборты в России»,40.83,35.43,35.61,35.06,30.09,28.15,24.68,22.56,21.77,19.75,18.792,,
646,Омская область,52000000,Всего абортов на 1000 женщин,Y477000008,человек,Росстат,Расчет «Если быть точным» по данным Росстата.Номер показателя (ID) заимствован у «Если быть точным» из датасета «Аборты в России»,19.82,19.41,19.39,20.72,17.54,15.1,14.48,13.36,12.97,12.43,12.457,,
647,Оренбургская область,53000000,Всего абортов на 1000 женщин,Y477000008,человек,Росстат,Расчет «Если быть точным» по данным Росстата.Номер показателя (ID) заимствован у «Если быть точным» из датасета «Аборты в России»,46.32,43.77,41.55,38.64,34.34,32.41,26.07,23.37,23.86,22.18,18.925,,
648,Орловская область,54000000,Всего абортов на 1000 женщин,Y477000008,человек,Росстат,Расчет «Если быть точным» по данным Росстата.Номер показателя (ID) заимствован у «Если быть точным» из датасета «Аборты в России»,29.61,27.66,24.24,23.65,19.87,20.58,18.67,15.05,15.69,14.03,12.948,,
649,Пензенская область,56000000,Всего абортов на 1000 женщин,Y477000008,человек,Росстат,Расчет «Если быть точным» по данным Росстата.Номер показателя (ID) заимствован у «Если быть точным» из датасета «Аборты в России»,24.84,22.21,22.33,20.59,15.92,15.57,14.76,13.56,13.33,12.6,10.628,,
650,Пермский край,57000000,Всего абортов на 1000 женщин,Y477000008,человек,Росстат,Расчет «Если быть точным» по данным Росстата.Номер показателя (ID) заимствован у «Если быть точным» из датасета «Аборты в России»,35.39,29.72,27.54,32.63,30.25,28.77,25.77,22.87,21.37,19.73,17.679,,
651,Приморский край,5000000,Всего абортов на 1000 женщин,Y477000008,человек,Росстат,Расчет «Если быть точным» по данным Росстата.Номер показателя (ID) заимствован у «Если быть точным» из датасета «Аборты в России»,27.37,25.48,26.09,24.43,21.02,18.84,17.2,16.15,16.3,14.89,14.258,,
652,Псковская область,58000000,Всего абортов на 1000 женщин,Y477000008,человек,Росстат,Расчет «Если быть точным» по данным Росстата.Номер показателя (ID) заимствован у «Если быть точным» из датасета «Аборты в России»,42.24,36.85,36.76,33.23,29.63,26.9,26.44,23.25,23.19,21.72,19.127,,
653,Республика Адыгея,79000000,Всего абортов на 1000 женщин,Y477000008,человек,Росстат,Расчет «Если быть точным» по данным Росстата.Номер показателя (ID) заимствован у «Если быть точным» из датасета «Аборты в России»,17.73,17.24,15.52,14.14,12.97,10.96,8.57,8.67,8.46,8.97,11.948,,
654,Республика Алтай,84000000,Всего абортов на 1000 женщин,Y477000008,человек,Росстат,Расчет «Если быть точным» по данным Росстата.Номер показателя (ID) заимствован у «Если быть точным» из датасета «Аборты в России»,46.25,40.18,42.91,42.63,32.95,31.68,28.29,25.65,23.97,29.19,32.047,,
655,Республика Башкортостан,80000000,Всего абортов на 1000 женщин,Y477000008,человек,Росстат,Расчет «Если быть точным» по данным Росстата.Номер показателя (ID) заимствован у «Если быть точным» из датасета «Аборты в России»,19.51,19.34,17.88,17.74,15.85,15.66,14.93,13.61,11.44,11.84,11.13,,
656,Республика Бурятия,81000000,Всего абортов на 1000 женщин,Y477000008,человек,Росстат,Расчет «Если быть точным» по данным Росстата.Номер показателя (ID) заимствован у «Если быть точным» из датасета «Аборты в России»,39.79,37.09,41.59,38.32,31.77,26.46,22.59,22.0,18.62,20.83,20.995,,
657,Республика Дагестан,82000000,Всего абортов на 1000 женщин,Y477000008,человек,Росстат,Расчет «Если быть точным» по данным Росстата.Номер показателя (ID) заимствован у «Если быть точным» из датасета «Аборты в России»,8.34,8.03,8.69,7.31,6.97,6.99,6.24,6.19,6.2,6.37,5.692,,
658,Республика Ингушетия,26000000,Всего абортов на 1000 женщин,Y477000008,человек,Росстат,Расчет «Если быть точным» по данным Росстата.Номер показателя (ID) заимствован у «Если быть точным» из датасета «Аборты в России»,9.43,8.59,8.08,7.47,6.44,6.3,5.73,6.04,5.92,5.84,5.303,,
659,Республика Калмыкия,85000000,Всего абортов на 1000 женщин,Y477000008,человек,Росстат,Расчет «Если быть точным» по данным Росстата.Номер показателя (ID) заимствован у «Если быть точным» из датасета «Аборты в России»,16.05,13.55,14.91,12.57,11.55,10.02,8.21,7.4,7.17,7.51,7.117,,
660,Республика Карелия,86000000,Всего абортов на 1000 женщин,Y477000008,человек,Росстат,Расчет «Если быть точным» по данным Росстата.Номер показателя (ID) заимствован у «Если быть точным» из датасета «Аборты в России»,34.01,31.5,31.35,33.27,26.88,24.67,20.68,16.35,15.52,12.81,19.791,,
